"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
"1" 3384362 1e-06 0 0.75 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"2" 3384363 1e-06 0 0.75 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"3" 3384364 1e-06 0 0.75 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"4" 3384366 1e-06 0 0.75 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"5" 3384368 1e-06 0 0.75 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
"6" 3384369 1e-06 0 0.75 0.002 1 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"7" 3384370 1e-06 0 0.75 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"8" 3384371 1e-06 0 0.75 0.002 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"9" 3384372 1e-06 0 0.75 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
"10" 3384374 1e-06 0 0.75 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"11" 3384376 1e-06 0 0.75 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"12" 3384378 1e-06 0 0.75 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
"13" 3384379 1e-06 0 0.75 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
"14" 3384381 1e-06 0 0.75 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"15" 3384382 1e-06 0 0.75 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"16" 3384383 1e-06 0 0.75 0.002 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"17" 3384385 1e-06 0 0.75 0.002 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
"18" 3384388 1e-06 0 0.75 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"19" 3384393 1e-06 0 0.75 0.002 3 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
"20" 3384394 1e-06 0 0.75 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
"21" 3384395 1e-06 0 0.75 0.002 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
"22" 3384398 1e-06 0 0.75 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
"23" 3384399 1e-06 0 0.75 0.002 4 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
"24" 3384400 1e-06 0 0.75 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
"25" 3384401 1e-06 0 0.75 0.002 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
