"seed","mu_base","mu_inv","sigmaK","alpha","rep","N","en_var","mig1","mig2","theta1","theta2","burnin","chrom_num","r"
3383282,1e-07,0,0.9,0.002,1,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383283,1e-07,0,0.9,0.002,1,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383284,1e-07,0,0.9,0.002,1,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383285,1e-07,0,0.9,0.002,1,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383286,1e-07,0,0.9,0.002,1,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383287,1e-07,0,0.9,0.002,1,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383288,1e-07,0,0.9,0.002,1,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383289,1e-07,0,0.9,0.002,1,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383290,1e-07,0,0.9,0.002,1,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383291,1e-07,0,0.9,0.002,1,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
3383292,1e-07,0,0.9,0.002,2,1000,0,0.001,0.001,1,-1,4000,21,1e-06
3383293,1e-07,0,0.9,0.002,2,1000,0,0.01,0.01,1,-1,4000,21,1e-06
3383294,1e-07,0,0.9,0.002,2,1000,0,0.1,0.1,1,-1,4000,21,1e-06
3383295,1e-07,0,0.9,0.002,2,1000,0,0.25,0.25,1,-1,4000,21,1e-06
3383296,1e-07,0,0.9,0.002,2,1000,0,0.5,0.5,1,-1,4000,21,1e-06
3383297,1e-07,0,0.9,0.002,2,1000,0.15,0.001,0.001,1,-1,4000,21,1e-06
3383298,1e-07,0,0.9,0.002,2,1000,0.15,0.01,0.01,1,-1,4000,21,1e-06
3383299,1e-07,0,0.9,0.002,2,1000,0.15,0.1,0.1,1,-1,4000,21,1e-06
3383300,1e-07,0,0.9,0.002,2,1000,0.15,0.25,0.25,1,-1,4000,21,1e-06
3383301,1e-07,0,0.9,0.002,2,1000,0.15,0.5,0.5,1,-1,4000,21,1e-06
