"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3383282 0.0000001 0 0.75 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383283 0.0000001 0 0.75 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383284 0.0000001 0 0.75 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383285 0.0000001 0 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3383286 0.0000001 0 0.75 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3383287 0.0000001 0 0.75 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383288 0.0000001 0 0.75 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 0.000001 2
3383289 0.0000001 0 0.75 0.002 1 1000 0.1 0.01 0.01 1 -1 10000 21 0.000001 2
3383290 0.0000001 0 0.75 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 0.000001 2
3383291 0.0000001 0 0.75 0.002 1 1000 0.1 0.25 0.25 1 -1 10000 21 0.000001 2
3383292 0.0000001 0 0.75 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 0.000001 2
3383293 0.0000001 0 0.75 0.002 1 1000 0.1 0.5 0.5 1 -1 10000 21 0.000001 2
3383294 0.0000001 0 0.75 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383295 0.0000001 0 0.75 0.002 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383296 0.0000001 0 0.75 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383297 0.0000001 0 0.75 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3383298 0.0000001 0 0.75 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3383299 0.0000001 0 0.75 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383300 0.0000001 0 0.75 0.002 2 1000 0.1 0.001 0.001 1 -1 10000 21 0.000001 2
3383301 0.0000001 0 0.75 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 0.000001 2
3383302 0.0000001 0 0.75 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 0.000001 2
3383303 0.0000001 0 0.75 0.002 2 1000 0.1 0.25 0.25 1 -1 10000 21 0.000001 2
