"inv_id" "sim_gen" "freq" "freq_p1" "freq_p2" "num_qtns" "mean_qtnSelCoef" "sd_qtnSelCoef" "mean_qtnDom" "sd_qtnDom" "inv_FST" "inv_originGen" "inv_pos" "inv_end" "inv_length"
75004 200 0.00975 0.0095 0.01 0 0 0 0 0 0 89 2007075 2050455 43381
116204 200 0.015 0.018 0.012 2 0.000846835 0.00187558 0 0 0 138 1011297 1036071 24775
116204 400 0.13775 0.1445 0.131 13 -0.0000300702 0.00248088 0 0 0.000383604 138 1011297 1036071 24775
116204 1800 0.25175 0.247 0.2565 41 -0.000452902 0.00203166 0 0 0.000119776 138 1011297 1036071 24775
116204 2400 0.0195 0.0185 0.0205 15 -0.000701691 0.00196249 0 0 0 138 1011297 1036071 24775
116204 1400 0.2325 0.2425 0.2225 31 0.0000203195 0.00215262 0 0 0.000560401 138 1011297 1036071 24775
116204 2200 0.10725 0.102 0.1125 24 -0.000988876 0.00202402 0 0 0.000287867 138 1011297 1036071 24775
116204 1600 0.23375 0.236 0.2315 43 -0.000216243 0.00195239 0 0 0.0000282646 138 1011297 1036071 24775
116204 600 0.09 0.09 0.09 11 0.000496615 0.00218535 0 0 0 138 1011297 1036071 24775
116204 2000 0.176 0.176 0.176 35 -0.000336184 0.00176052 0 0 0 138 1011297 1036071 24775
116204 1000 0.31075 0.3195 0.302 50 -0.000191791 0.00200463 0 0 0.000357461 138 1011297 1036071 24775
116204 1200 0.179 0.1775 0.1805 34 0.000352047 0.00216728 0 0 0.0000153104 138 1011297 1036071 24775
116204 800 0.2515 0.249 0.254 26 0.000202006 0.0024501 0 0 0.0000332009 138 1011297 1036071 24775
144153 200 0.0015 0.002 0.001 1 0.00217307 0 0 0 0 171 1006890 1031918 25029
144971 200 0.003 0.0025 0.0035 0 0 0 0 0 0 172 418522 425252 6731
144972 200 0.006 0.007 0.005 0 0 0 0 0 0 172 1649324 1697918 48595
148281 200 0.00475 0.0025 0.007 4 -0.000128796 0.00187905 0 0 0 176 1162776 1193688 30913
160941 200 0.0035 0.0035 0.0035 0 0 0 0 0 0 191 1057089 1067048 9960
161774 200 0.00225 0.002 0.0025 1 0.000445748 0 0 0 0 192 222470 265013 42544
162581 200 0.00225 0.003 0.0015 2 -0.000258584 0.00163577 0 0 0 193 1856836 1897140 40305
162582 200 0.001 0.001 0.001 3 -0.000220865 0.00319956 0 0 0 193 325034 374528 49495
165111 200 0.001 0.002 0 0 0 0 0 0 0 196 1338845 1352743 13899
166821 200 0.00025 0.0005 0 0 0 0 0 0 0 198 1838794 1883782 44989
168500 200 0.00025 0.0005 0 2 0.00207278 0.00196062 0 0 0 200 357769 385926 28158
168501 200 0.00025 0 0.0005 0 0 0 0 0 0 200 1982022 1984033 2012
251308 800 0.006 0.0075 0.0045 2 -0.000520055 0.000793008 0 0 0 298 1331319 1351720 20402
251308 400 0.00625 0.0075 0.005 0 0 0 0 0 0 298 1331319 1351720 20402
251308 1000 0.008 0.008 0.008 3 -0.00162567 0.00199539 0 0 0 298 1331319 1351720 20402
251308 600 0.04 0.036 0.044 6 -0.000130923 0.00145772 0 0 0 298 1331319 1351720 20402
304951 400 0.003 0.001 0.005 2 -0.000601844 0.000807481 0 0 0 362 1608276 1654220 45945
314299 2600 0.10025 0.0955 0.105 33 -0.000827161 0.00179177 0 0 0.000250139 373 366464 399790 33327
314299 2400 0.258 0.2625 0.2535 46 -0.000366086 0.00198627 0 0 0.000105779 373 366464 399790 33327
314299 400 0.004 0.003 0.005 1 -0.00225524 0 0 0 0 373 366464 399790 33327
314299 1600 0.1915 0.1865 0.1965 32 -0.000177133 0.00208926 0 0 0.00016147 373 366464 399790 33327
314299 2200 0.16175 0.1595 0.164 31 -0.000426426 0.00164802 0 0 0.0000373377 373 366464 399790 33327
314299 2800 0.03375 0.031 0.0365 24 -0.000778862 0.00159441 0 0 0 373 366464 399790 33327
314299 1200 0.1995 0.1935 0.2055 36 -0.000250183 0.00215942 0 0 0.000225423 373 366464 399790 33327
314299 1000 0.165 0.164 0.166 12 -0.000679778 0.00151307 0 0 0.00000725821 373 366464 399790 33327
314299 2000 0.17425 0.188 0.1605 44 -0.000170642 0.00188313 0 0 0.00131397 373 366464 399790 33327
314299 800 0.11575 0.1205 0.111 23 -0.0000245293 0.0020159 0 0 0.00022044 373 366464 399790 33327
314299 600 0.0145 0.016 0.013 5 -0.000204093 0.00274603 0 0 0 373 366464 399790 33327
314299 1800 0.219 0.2255 0.2125 45 -0.000266545 0.00195876 0 0 0.00024702 373 366464 399790 33327
314299 1400 0.15025 0.156 0.1445 22 -0.000793304 0.00219505 0 0 0.000258958 373 366464 399790 33327
316782 400 0.00675 0.0075 0.006 3 -0.000595712 0.00215146 0 0 0 376 113876 140104 26229
316782 600 0.0335 0.0365 0.0305 7 -0.000932584 0.00177852 0 0 0 376 113876 140104 26229
316782 800 0.00125 0.0015 0.001 3 -0.000595712 0.00215146 0 0 0 376 113876 140104 26229
317667 400 0.00025 0.0005 0 3 -0.00029562 0.00211918 0 0 0 377 1449007 1480456 31450
320189 400 0.00175 0.0025 0.001 0 0 0 0 0 0 380 13251 25568 12318
325298 400 0.00025 0 0.0005 1 0.00235236 0 0 0 0 386 728311 750100 21790
326942 400 0.005 0.004 0.006 0 0 0 0 0 0 388 2035979 2083902 47924
326942 600 0.008 0.006 0.01 0 0 0 0 0 0 388 2035979 2083902 47924
326943 400 0.00125 0.0005 0.002 0 0 0 0 0 0 388 1014866 1057459 42594
327743 400 0.0015 0.0015 0.0015 1 0.00181581 0 0 0 0 389 1925970 1958210 32241
331039 400 0.00025 0.0005 0 0 0 0 0 0 0 393 2093233 2096993 3761
332740 400 0.00325 0.0035 0.003 1 -0.00266101 0 0 0 0 395 1676173 1697425 21253
332741 400 0.00075 0.001 0.0005 4 -0.000150193 0.00132869 0 0 0 395 1332428 1375606 43179
