sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
200 75004 0.00975 0.0095 0.01 0 0 0 0 0 0
200 116204 0.015 0.018 0.012 2 0.000846835 0.00187558 0 0 0
200 144153 0.0015 0.002 0.001 1 0.00217307 0 0 0 0
200 144972 0.006 0.007 0.005 0 0 0 0 0 0
200 144971 0.003 0.0025 0.0035 0 0 0 0 0 0
200 148281 0.00475 0.0025 0.007 4 -0.000128796 0.00187905 0 0 0
200 161774 0.00225 0.002 0.0025 1 0.000445748 0 0 0 0
200 160941 0.0035 0.0035 0.0035 0 0 0 0 0 0
200 162581 0.00225 0.003 0.0015 2 -0.000258584 0.00163577 0 0 0
200 162582 0.001 0.001 0.001 3 -0.000220865 0.00319956 0 0 0
200 165111 0.001 0.002 0 0 0 0 0 0 0
200 166821 0.00025 0.0005 0 0 0 0 0 0 0
200 168500 0.00025 0.0005 0 2 0.00207278 0.00196062 0 0 0
200 168501 0.00025 0 0.0005 0 0 0 0 0 0
400 316782 0.00675 0.0075 0.006 3 -0.000595712 0.00215146 0 0 0
400 116204 0.13775 0.1445 0.131 13 -3.00702e-05 0.00248088 0 0 0.000383604
400 304951 0.003 0.001 0.005 2 -0.000601844 0.000807481 0 0 0
400 320189 0.00175 0.0025 0.001 0 0 0 0 0 0
400 333611 0.0005 0 0.001 1 0.00299124 0 0 0 0
400 251308 0.00625 0.0075 0.005 0 0 0 0 0 0
400 336000 0.0005 0 0.001 0 0 0 0 0 0
400 314299 0.004 0.003 0.005 1 -0.00225524 0 0 0 0
400 317667 0.00025 0.0005 0 3 -0.00029562 0.00211918 0 0 0
400 332741 0.00075 0.001 0.0005 4 -0.000150193 0.00132869 0 0 0
400 331039 0.00025 0.0005 0 0 0 0 0 0 0
400 325298 0.00025 0 0.0005 1 0.00235236 0 0 0 0
400 332740 0.00325 0.0035 0.003 1 -0.00266101 0 0 0 0
400 334387 0.001 0.001 0.001 0 0 0 0 0 0
400 327743 0.0015 0.0015 0.0015 1 0.00181581 0 0 0 0
400 335178 0.00125 0.002 0.0005 1 -0.000353144 0 0 0 0
400 326942 0.005 0.004 0.006 0 0 0 0 0 0
400 326943 0.00125 0.0005 0.002 0 0 0 0 0 0
400 336872 0.00025 0.0005 0 0 0 0 0 0 0
400 336873 0.00025 0 0.0005 1 -0.00337986 0 0 0 0
400 336874 0.00025 0 0.0005 0 0 0 0 0 0
600 316782 0.0335 0.0365 0.0305 7 -0.000932584 0.00177852 0 0 0
