sim_gen inv_id freq freq_p1 freq_p2 num_qtns mean_qtnSelCoef sd_qtnSelCoef mean_qtnDom sd_qtnDom inv_FST 
200 13339 0.00775 0.008 0.0075 0 0 0 0 0 0
200 48311 0.00125 0.0015 0.001 0 0 0 0 0 0
200 62541 0.01475 0.0105 0.019 2 0.000756435 0.00158321 0 0 0
200 71861 0.02475 0.0265 0.023 1 0.00103229 0 0 0 0
200 87831 0.00025 0.0005 0 0 0 0 0 0 0
200 104649 0.009 0.0095 0.0085 1 -0.001339 0 0 0 0
200 111299 0.013 0.0115 0.0145 0 0 0 0 0 0
200 128253 0.00175 0.0025 0.001 0 0 0 0 0 0
200 128251 0.0135 0.0165 0.0105 1 0.00167086 0 0 0 0
200 122329 0.00575 0.006 0.0055 0 0 0 0 0 0
200 127427 0.01325 0.0145 0.012 0 0 0 0 0 0
200 131658 0.0155 0.0125 0.0185 0 0 0 0 0 0
200 123142 0.00175 0.001 0.0025 2 0.000564804 0.00215011 0 0 0
200 151205 0.00875 0.0095 0.008 2 -0.000933897 0.00315247 0 0 0
200 136813 0.002 0.0015 0.0025 1 -0.00127825 0 0 0 0
200 166230 0.0005 0.001 0 0 0 0 0 0 0
200 164582 0.0005 0 0.001 0 0 0 0 0 0
200 167066 0.00025 0 0.0005 0 0 0 0 0 0
200 167945 0.00025 0 0.0005 0 0 0 0 0 0
200 167946 0.00025 0 0.0005 0 0 0 0 0 0
200 167947 0.00025 0 0.0005 0 0 0 0 0 0
400 13339 0.01175 0.01 0.0135 3 0.000829026 0.000956718 0 0 0
400 178047 0.025 0.019 0.031 3 -0.000998671 0.00169843 0 0 0
400 62541 0.0345 0.029 0.04 7 -0.000830928 0.00213457 0 0 0
400 71861 0.06275 0.0555 0.07 3 0.000903239 0.00142427 0 0 0.000893731
400 276850 0.005 0.005 0.005 4 0.00134537 0.00189776 0 0 0
400 232775 0.00075 0.0005 0.001 3 -8.97464e-05 0.000905965 0 0 0
400 111299 0.011 0.011 0.011 0 0 0 0 0 0
400 319560 0.00175 0.0025 0.001 0 0 0 0 0 0
