sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
200 21 0.000451115 -0.00124759 0.00214982 0.000458397 0.000443833 0.410579 0.0129988 -0.000854128 0.0178227 0.41227 0.0124744 -0.00147134 0.0170447
400 23 0.00115587 -0.00641819 0.00872994 0.00116402 0.00114772 0.408085 0.0182058 -0.00439293 0.0249711 0.415651 0.0176403 -0.00597591 0.0240488
600 26 0.000496238 -0.00307765 0.00407013 0.00051674 0.000475737 0.409825 0.0216496 -0.00210843 0.0297276 0.413378 0.0208102 -0.00278716 0.0284255
800 22 0.000654689 0.0219211 -0.0206117 0.00064125 0.000668128 0.422476 0.02555 0.0150169 0.0346177 0.401223 0.0257553 0.0141211 0.035668
1000 23 -0.000120731 -0.000837851 0.000596389 -0.000107718 -0.000133744 0.411084 0.0270583 -0.000575721 0.0371319 0.411788 0.0266772 -0.000409337 0.0365151
1200 27 0.0014621 -0.00253344 0.00545763 0.00146636 0.00145783 0.410311 0.0295921 -0.00173355 0.0405377 0.414302 0.0294626 -0.00374205 0.040214
1400 32 -0.00174894 -0.0154808 0.0119829 -0.001718 -0.00177989 0.403893 0.0300703 -0.0106123 0.0415832 0.417593 0.0299373 -0.00821161 0.0407978
1600 35 0.000404464 -0.00496054 0.00576947 0.000406886 0.000402041 0.409187 0.032107 -0.00340287 0.044181 0.414549 0.0323047 -0.0039603 0.0440295
1800 29 0.000911494 0.0237995 -0.0219766 0.000995913 0.000827075 0.423714 0.0348183 0.0163237 0.0471361 0.400742 0.0319123 0.0150683 0.0442772
2000 30 0.00242383 0.00577897 -0.00093132 0.00241009 0.00243756 0.414665 0.0353399 0.00396313 0.048316 0.411324 0.0356583 0.000641693 0.0489811
2200 33 0.0023053 0.0448935 -0.0402829 0.00234079 0.0022698 0.43457 0.0383273 0.0308116 0.0514024 0.391947 0.0371058 0.0276437 0.0519696
2400 32 0.000435504 0.0581362 -0.0572651 0.000517333 0.000353674 0.441435 0.0402402 0.0399242 0.0535888 0.383652 0.0361378 0.0393118 0.0512312
2600 34 -7.02034e-05 0.0703147 -0.0704551 -0.000144524 4.11756e-06 0.447728 0.0403788 0.0482973 0.053522 0.377418 0.0390639 0.0484077 0.0558687
2800 38 -0.00152229 0.068784 -0.0718286 -0.00159505 -0.00144954 0.447029 0.0426031 0.0472584 0.0565565 0.376795 0.0399925 0.0493523 0.0570822
3000 30 -0.000555886 0.125561 -0.126672 -0.000531671 -0.000580102 0.476905 0.0444726 0.086446 0.0577116 0.350764 0.0375824 0.0871954 0.0557567
