"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3383282 1e-07 0 0.75 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3383283 1e-07 0 0.75 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3383284 1e-07 0 0.75 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3383285 1e-07 0 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3383286 1e-07 0 0.75 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3383287 1e-07 0 0.75 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3383288 1e-07 0 0.75 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3383289 1e-07 0 0.75 0.002 1 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3383290 1e-07 0 0.75 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3383291 1e-07 0 0.75 0.002 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3383292 1e-07 0 0.75 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3383293 1e-07 0 0.75 0.002 1 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3383294 1e-07 0 0.75 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3383295 1e-07 0 0.75 0.002 2 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3383296 1e-07 0 0.75 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3383297 1e-07 0 0.75 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3383298 1e-07 0 0.75 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3383299 1e-07 0 0.75 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3383300 1e-07 0 0.75 0.002 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3383301 1e-07 0 0.75 0.002 2 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3383302 1e-07 0 0.75 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3383303 1e-07 0 0.75 0.002 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3383304 1e-07 0 0.75 0.002 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3383305 1e-07 0 0.75 0.002 2 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3383306 1e-07 0 0.75 0.002 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3383307 1e-07 0 0.75 0.002 3 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3383308 1e-07 0 0.75 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3383309 1e-07 0 0.75 0.002 3 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3383310 1e-07 0 0.75 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3383311 1e-07 0 0.75 0.002 3 1000 0 0.5 0.5 1 -1 10000 21 1e-06 2
3383312 1e-07 0 0.75 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3383313 1e-07 0 0.75 0.002 3 1000 0.1 0.01 0.01 1 -1 10000 21 1e-06 2
3383314 1e-07 0 0.75 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3383315 1e-07 0 0.75 0.002 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3383316 1e-07 0 0.75 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3383317 1e-07 0 0.75 0.002 3 1000 0.1 0.5 0.5 1 -1 10000 21 1e-06 2
3383318 1e-07 0 0.75 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3383319 1e-07 0 0.75 0.002 4 1000 0 0.01 0.01 1 -1 10000 21 1e-06 2
3383320 1e-07 0 0.75 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3383321 1e-07 0 0.75 0.002 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
