sim_gen uniqueInvMuts localAdaptSA localAdaptHA_P1 localAdaptHA_P2 localAdaptLF_P1 localAdaptLF_P2 meanFitP1 sdFitP1 meanPhenoP1 sdPhenoP1 meanFitP2 sdFitP2 meanPhenoP2 sdPhenoP2 
200 14 0.000537082 -0.00246576 0.00353993 0.000530851 0.000543314 0.409956 0.0119097 -0.00168728 0.0163146 0.412965 0.0123623 -0.00242251 0.0168854
400 21 -0.000749409 -0.00247025 0.000971428 -0.000747813 -0.000751004 0.410037 0.0172838 -0.00169054 0.0236722 0.411756 0.017252 -0.000665 0.0236034
600 27 -0.00123695 0.0114944 -0.0139683 -0.001242 -0.0012319 0.417113 0.0212189 0.00787077 0.0288832 0.404387 0.0207935 0.00956472 0.0286805
800 27 -0.000239512 0.0220727 -0.0225517 -0.000286251 -0.000192773 0.422529 0.0246911 0.0151215 0.0333894 0.400263 0.0256975 0.0154508 0.0356416
1000 31 -0.00271997 0.0304903 -0.0359303 -0.00276655 -0.00267339 0.426912 0.0289453 0.0208959 0.0390796 0.393749 0.0278999 0.0246275 0.0390119
1200 35 0.00171562 0.0123354 -0.0089042 0.00172379 0.00170745 0.417775 0.0301329 0.00845605 0.0409899 0.407147 0.0298339 0.00610181 0.0410521
1400 29 0.00096948 0.0161032 -0.0141642 0.000961288 0.000977672 0.419743 0.0323123 0.011041 0.0439037 0.404617 0.0322511 0.00971101 0.0445374
1600 31 -0.0026834 0.0300558 -0.0354226 -0.00270585 -0.00266096 0.426922 0.0358162 0.0206143 0.048432 0.394205 0.0340257 0.0242968 0.0475341
1800 23 0.00079832 0.0554706 -0.0538739 0.000890551 0.000706089 0.439937 0.0368689 0.0380681 0.0492163 0.385173 0.0329559 0.0369643 0.0466428
2000 35 0.000927298 0.0515709 -0.0497163 0.000962846 0.00089175 0.437897 0.035772 0.0353804 0.0478924 0.387218 0.0338194 0.0341024 0.0475076
2200 32 0.0015325 0.0250756 -0.0220106 0.0015836 0.0014814 0.4245 0.038511 0.0172074 0.05216 0.400906 0.0368378 0.0150977 0.0510411
2400 36 -0.00158347 -0.00937404 0.0062071 -0.00155449 -0.00161246 0.407245 0.0387928 -0.00643689 0.0535601 0.415007 0.038657 -0.00426195 0.0528047
2600 27 -0.00101918 -0.0296348 0.0275964 -0.00101393 -0.00102443 0.397236 0.0388702 -0.0203377 0.054117 0.425847 0.0402419 -0.0189421 0.0544503
2800 30 0.000981164 -0.00121231 0.00317464 0.00093665 0.00102568 0.411281 0.0381358 -0.000834715 0.0524028 0.413519 0.0394147 -0.00218503 0.053857
3000 38 0.00131336 -0.00198272 0.00460943 0.00140622 0.00122049 0.41097 0.039945 -0.00136178 0.0548882 0.414173 0.0377894 -0.0031632 0.0517023
