sim_gen,inv_id,freq,freq_p1,freq_p2,num_qtns,mean_qtnSelCoef,sd_qtnSelCoef,mean_qtnDom,sd_qtnDom,mean_INVQTNFST,inv_FST
200,4383,0.014,0.012,0.016,0,NAN,NAN,NAN,NAN,NAN,NAN
200,5372,0.0245,0.025,0.024,0,NAN,NAN,NAN,NAN,NAN,NAN
200,7443,0.00575,0.0075,0.004,0,NAN,NAN,NAN,NAN,NAN,NAN
200,9717,0.005,0.004,0.006,0,NAN,NAN,NAN,NAN,NAN,NAN
200,14557,0.00075,0.0005,0.001,0,NAN,NAN,NAN,NAN,NAN,NAN
200,11918,0.008,0.0065,0.0095,0,NAN,NAN,NAN,NAN,NAN,NAN
200,9879,0.0105,0.013,0.008,0,NAN,NAN,NAN,NAN,NAN,NAN
200,14381,0.00325,0.0025,0.004,0,NAN,NAN,NAN,NAN,NAN,NAN
200,13394,0.00375,0.0025,0.005,0,NAN,NAN,NAN,NAN,NAN,NAN
200,14555,0.0035,0.0025,0.0045,0,NAN,NAN,NAN,NAN,NAN,NAN
200,16844,0.0015,0.001,0.002,0,NAN,NAN,NAN,NAN,NAN,NAN
200,16096,0.001,0.0015,0.0005,0,NAN,NAN,NAN,NAN,NAN,NAN
200,16174,0.005,0.0045,0.0055,0,NAN,NAN,NAN,NAN,NAN,NAN
200,15316,0.00025,0.0005,0,0,NAN,NAN,NAN,NAN,NAN,NAN
200,16510,0.0005,0.0005,0.0005,0,NAN,NAN,NAN,NAN,NAN,NAN
200,17029,0.00125,0.001,0.0015,0,NAN,NAN,NAN,NAN,NAN,NAN
200,17209,0.0005,0.0005,0.0005,0,NAN,NAN,NAN,NAN,NAN,NAN
200,17311,0.00025,0.0005,0,0,NAN,NAN,NAN,NAN,NAN,NAN
400,21815,0.00775,0.0075,0.008,0,NAN,NAN,NAN,NAN,NAN,NAN
400,5372,0.05825,0.0595,0.057,0,NAN,NAN,NAN,NAN,NAN,2.85E-05
400,33840,0.0005,0.001,0,0,NAN,NAN,NAN,NAN,NAN,NAN
400,34575,0.0005,0,0.001,0,NAN,NAN,NAN,NAN,NAN,NAN
400,32915,0.00225,0.0015,0.003,0,NAN,NAN,NAN,NAN,NAN,NAN
400,34388,0.00075,0,0.0015,0,NAN,NAN,NAN,NAN,NAN,NAN
400,9879,0.00775,0.007,0.0085,0,NAN,NAN,NAN,NAN,NAN,NAN
400,33401,0.003,0.0025,0.0035,0,NAN,NAN,NAN,NAN,NAN,NAN
400,33003,0.002,0.001,0.003,0,NAN,NAN,NAN,NAN,NAN,NAN
