sim_gen,uniqueInvMuts,localAdaptSA,localAdaptHA_P1,localAdaptHA_P2,localAdaptLF_P1,localAdaptLF_P2,meanFST_QTNs,upCI_FST_QTNs,lowCI_FST_QTNs,meanFST_invs,upCI_FST_invs,lowCI_FST_invs,meanFST_neut,upCI_FST_neut,lowCI_FST_neut,meanFitP1,sdFitP1,meanPhenoP1,sdPhenoP1,meanFitP2,sdFitP2,meanPhenoP2,sdPhenoP2
200,18,0.460658,0.460637,0.460679,0.460679,0.460637,0.000193521,0.000451126,-6.41E-05,NAN,NAN,NAN,NAN,NAN,NAN,1,0,7.06E-05,0.00555646,1,0,-0.000133925,0.00530538
400,25,0.460402,0.458447,0.462358,0.462358,0.458447,0.000286973,0.000406478,0.000167467,4.19E-05,NAN,NAN,0.00110802,0.00110802,0.00110802,1,0,-0.0032145,0.00715217,1,0,-0.00265793,0.0073742
600,25,0.460511,0.459078,0.461943,0.461943,0.459078,0.000216276,0.000297067,0.000135485,0.000285694,NAN,NAN,4.06E-05,0.000109595,-2.83E-05,1,0,-0.00226207,0.0097868,1,0,-0.00203978,0.00972162
800,23,0.460514,0.459656,0.461371,0.461371,0.459656,0.000241475,0.000311382,0.000171567,0.000156096,NAN,NAN,0.000152516,0.000276465,2.86E-05,1,0,-0.00139196,0.010772,1,0,-0.00118262,0.0104297
1000,25,0.460485,0.460731,0.46024,0.46024,0.460731,0.000259579,0.000331767,0.000187392,0.000283866,NAN,NAN,9.11E-05,0.000197885,-1.56E-05,1,0,0.000223528,0.0117514,1,0,0.000513334,0.0117829
1200,25,0.460255,0.461787,0.458722,0.458722,0.461787,0.000180752,0.000219298,0.000142206,0.000174834,NAN,NAN,0.000187401,0.000420233,-4.54E-05,1,0,0.00180993,0.0113329,1,0,0.00279299,0.0114685
1400,24,0.460688,0.461471,0.459905,0.459905,0.461471,0.000325216,0.000406187,0.000244244,0.000423101,NAN,NAN,0.000192473,0.000317218,6.77E-05,1,0,0.00133629,0.0119898,1,0,0.00101354,0.0125523
1600,28,0.460831,0.464113,0.457548,0.457548,0.464113,0.000276133,0.000347385,0.000204881,0.00037169,NAN,NAN,0.000379438,0.000824353,-6.55E-05,1,0,0.00531166,0.0130285,1,0,0.00455005,0.0130093
1800,31,0.460524,0.461906,0.459143,0.459143,0.461906,0.000239544,0.000288684,0.000190405,0.000273798,NAN,NAN,0.000173157,0.000317311,2.90E-05,1,0,0.00199686,0.014203,1,0,0.00215314,0.0142191
2000,34,0.460694,0.467251,0.454137,0.454137,0.467251,0.000231592,0.000270219,0.000192964,0.000402846,NAN,NAN,0.0001115,0.000174671,4.83E-05,1,0,0.0100411,0.0152343,1,0,0.00965923,0.0149822
2200,36,0.460095,0.462267,0.457923,0.457923,0.462267,0.00028618,0.000335922,0.000236439,0.000384977,NAN,NAN,0.00024837,0.000381684,0.000115056,1,0,0.00254275,0.0153024,1,0,0.00398087,0.0151668
2400,32,0.460662,0.460223,0.4611,0.4611,0.460223,0.000252206,0.00030027,0.000204141,7.49E-05,NAN,NAN,0.000328356,0.000523081,0.000133631,1,0,-0.000523511,0.0162252,1,0,-0.000796062,0.0170422
2600,35,0.460989,0.461496,0.460482,0.460482,0.461496,0.000273933,0.000328533,0.000219334,0.000265845,NAN,NAN,0.00026271,0.000430761,9.47E-05,1,0,0.00139311,0.0174509,1,0,0.000130455,0.0174272
2800,42,0.460896,0.458976,0.462817,0.462817,0.458976,0.000211595,0.000247341,0.000175849,0.00028519,NAN,NAN,0.000119395,0.000200518,3.83E-05,1,0,-0.00238894,0.018064,1,0,-0.00337595,0.0170409
3000,42,0.460599,0.46082,0.460378,0.460378,0.46082,0.000288312,0.000343022,0.000233602,0.000191648,NAN,NAN,0.000216627,0.000328949,0.000104304,1,0,0.000380818,0.0181102,1,0,0.000285379,0.0175534
3200,36,0.46105,0.458853,0.463246,0.463246,0.458853,0.000231735,0.000267408,0.000196061,0.0004434,NAN,NAN,0.000284423,0.000551544,1.73E-05,1,0,-0.00257538,0.0176726,1,0,-0.00402312,0.0171584
3400,32,0.460433,0.456894,0.463973,0.463973,0.456894,0.000218692,0.000267059,0.000170325,0.000138527,NAN,NAN,0.00035246,0.000535994,0.000168927,1,0,-0.0055106,0.0187463,1,0,-0.00512288,0.0189678
3600,32,0.460622,0.459326,0.461918,0.461918,0.459326,0.000250594,0.000296065,0.000205123,0.000209106,NAN,NAN,0.000156395,0.000235992,7.68E-05,1,0,-0.00186195,0.0184158,1,0,-0.00203278,0.018642
3800,31,0.460267,0.457049,0.463485,0.463485,0.457049,0.000232901,0.000272546,0.000193256,0.000249529,NAN,NAN,0.000212852,0.000423667,2.04E-06,1,0,-0.00528396,0.017603,1,0,-0.00438506,0.0181041
4000,36,0.460675,0.45829,0.46306,0.46306,0.45829,0.00022702,0.000262474,0.000191566,0.000254305,NAN,NAN,0.000154578,0.000222982,8.62E-05,1,0,-0.00341253,0.0197539,1,0,-0.00375274,0.019523
4200,42,-0.000362101,-0.00157554,0.000851338,-0.000361585,-0.000362618,0.000274585,0.000315057,0.000234114,0.00026428,NAN,NAN,0.000192645,0.000258648,0.000126642,0.538651,0.0132735,-0.00118342,0.0199454,0.539864,0.0131839,-0.000639473,0.0198023
4400,29,2.87E-05,-0.00431597,0.00437342,2.97E-05,2.77E-05,0.000228438,0.000264215,0.000192661,0.000179663,NAN,NAN,0.000228888,0.00033247,0.000125306,0.537277,0.0123025,-0.00324155,0.0184914,0.541621,0.0120819,-0.00328512,0.0181307
4600,37,0.000300934,-0.0113747,0.0119765,0.000304187,0.000297682,0.000250012,0.000286118,0.000213906,0.000212098,NAN,NAN,0.00030972,0.00043604,0.0001834,0.533757,0.0133454,-0.00854425,0.0200888,0.54543,0.0125498,-0.00899625,0.0188107
4800,34,-0.00107172,-0.00983328,0.00768983,-0.0010692,-0.00107425,0.000263254,0.000302351,0.000224157,0.000317801,NAN,NAN,0.000328227,0.00049387,0.000162583,0.534526,0.013254,-0.0073858,0.0199367,0.543285,0.0131045,-0.00577657,0.019655
5000,38,-0.00156697,-0.0163554,0.0132214,-0.00155897,-0.00157497,0.000246388,0.000284306,0.000208469,0.000202772,NAN,NAN,0.000283833,0.000411465,0.000156202,0.531274,0.0134344,-0.0122865,0.0202504,0.546054,0.0126493,-0.00993121,0.0189598
5200,41,0.000892802,-0.0194325,0.0212181,0.000889537,0.000896068,0.000263746,0.000303907,0.000223585,0.000254278,NAN,NAN,0.000163451,0.000252499,7.44E-05,0.529738,0.0129383,-0.0145976,0.0195079,0.550066,0.0130533,-0.0159396,0.0195352
5400,34,-0.000672636,-0.0281418,0.0267965,-0.000671685,-0.000673586,0.000265165,0.000309426,0.000220904,0.000147945,NAN,NAN,0.000200157,0.000297763,0.00010255,0.525397,0.0120404,-0.0211405,0.0181834,0.552865,0.0126856,-0.0201301,0.0189789
5600,32,-7.34E-05,-0.0308569,0.03071,-7.31E-05,-7.37E-05,0.000249556,0.000282434,0.000216679,0.000335175,NAN,NAN,0.000218893,0.000344166,9.36E-05,0.52405,0.0128651,-0.0231819,0.0194391,0.554833,0.0130261,-0.0230719,0.0194725
5800,33,0.00102135,-0.0157902,0.0178329,0.00101946,0.00102324,0.000285276,0.000331609,0.000238942,0.000306301,NAN,NAN,0.000158959,0.000232939,8.50E-05,0.531554,0.0131232,-0.0118614,0.0197731,0.548367,0.0129551,-0.0133958,0.019404
6000,31,0.000554779,-0.0132415,0.014351,0.000553059,0.000556499,0.000277896,0.000316563,0.00023923,0.000232791,NAN,NAN,0.00042247,0.000767679,7.73E-05,0.53283,0.0140852,-0.0099471,0.0212107,0.546627,0.0142327,-0.0107813,0.021326
6200,31,0.000479661,-0.0223711,0.0233305,0.000477338,0.000481983,0.000241796,0.000277686,0.000205906,0.000213892,NAN,NAN,0.00021732,0.000364229,7.04E-05,0.528281,0.0144689,-0.0168073,0.0218319,0.551134,0.01467,-0.0175287,0.021952
6400,32,0.000328623,-0.0248989,0.0255562,0.000327886,0.000329361,0.000260655,0.000296733,0.000224577,0.000250339,NAN,NAN,0.000439291,0.000676022,0.000202561,0.527022,0.0143007,-0.0187063,0.0215824,0.55225,0.0142779,-0.0192,0.021368
6600,29,0.000205843,-0.0261996,0.0266113,0.000204675,0.000207012,0.000256484,0.000289238,0.00022373,0.000306878,NAN,NAN,0.000284505,0.000434029,0.000134982,0.526371,0.0135729,-0.019683,0.0204918,0.552777,0.0137425,-0.0199924,0.0205585
