"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3385442 0.00000001 0 0.75 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385443 0.00000001 0 0.75 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385444 0.00000001 0 0.75 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385445 0.00000001 0 0.75 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385446 0.00000001 0 0.75 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385447 0.00000001 0 0.75 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385448 0.00000001 0 0.75 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385449 0.00000001 0 0.75 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385450 0.00000001 0 0.75 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385451 0.00000001 0 0.75 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385452 0.00000001 0 0.75 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385453 0.00000001 0 0.75 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385454 0.00000001 0 0.75 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385455 0.00000001 0 0.75 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385456 0.00000001 0 0.75 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385457 0.00000001 0 0.75 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385458 0.00000001 0 0.75 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385459 0.00000001 0 0.75 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385460 0.00000001 0 0.75 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385461 0.00000001 0 0.75 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385462 0.00000001 0 0.75 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385463 0.00000001 0 0.75 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385464 0.00000001 0 0.75 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385465 0.00000001 0 0.75 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385466 0.00000001 0 0.75 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385467 0.00000001 0 0.75 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385468 0.00000001 0 0.75 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385469 0.00000001 0 0.75 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385470 0.00000001 0 0.75 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385471 0.00000001 0 0.75 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385472 0.00000001 0 1.5 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385473 0.00000001 0 1.5 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385474 0.00000001 0 1.5 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385475 0.00000001 0 1.5 0.2 1 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385476 0.00000001 0 1.5 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385477 0.00000001 0 1.5 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385478 0.00000001 0 1.5 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385479 0.00000001 0 1.5 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385480 0.00000001 0 1.5 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385481 0.00000001 0 1.5 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385482 0.00000001 0 1.5 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385483 0.00000001 0 1.5 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385484 0.00000001 0 1.5 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385485 0.00000001 0 1.5 0.2 3 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385486 0.00000001 0 1.5 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385487 0.00000001 0 1.5 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385488 0.00000001 0 1.5 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385489 0.00000001 0 1.5 0.2 3 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385490 0.00000001 0 1.5 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385491 0.00000001 0 1.5 0.2 4 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385492 0.00000001 0 1.5 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385493 0.00000001 0 1.5 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385494 0.00000001 0 1.5 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385495 0.00000001 0 1.5 0.2 4 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385496 0.00000001 0 1.5 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3385497 0.00000001 0 1.5 0.2 5 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3385498 0.00000001 0 1.5 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3385499 0.00000001 0 1.5 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 0.000001 2
3385500 0.00000001 0 1.5 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 0.000001 2
3385501 0.00000001 0 1.5 0.2 5 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3385502 0.00000001 0 3 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
