"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3384791 1e-06 0.001 0.75 0.2 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384794 1e-06 0.001 0.75 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384797 1e-06 0.001 0.75 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384800 1e-06 0.001 0.75 0.2 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384803 1e-06 0.001 0.75 0.2 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384806 1e-06 0.001 0.75 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384809 1e-06 0.001 0.75 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384812 1e-06 0.001 0.75 0.2 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384815 1e-06 0.001 0.75 0.2 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384818 1e-06 0.001 0.75 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384821 1e-06 0.001 0.75 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384824 1e-06 0.001 0.75 0.2 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384827 1e-06 0.001 0.75 0.2 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384830 1e-06 0.001 0.75 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384833 1e-06 0.001 0.75 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384836 1e-06 0.001 0.75 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384839 1e-06 0.001 0.75 0.2 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384842 1e-06 0.001 1.5 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384881 1e-06 0.001 1.5 0.002 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384884 1e-06 0.001 1.5 0.002 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384887 1e-06 0.001 1.5 0.002 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384890 1e-06 0.001 1.5 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384893 1e-06 0.001 1.5 0.002 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384896 1e-06 0.001 1.5 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384899 1e-06 0.001 1.5 0.002 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384902 1e-06 0.001 1.5 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384908 1e-06 0.001 1.5 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384911 1e-06 0.001 1.5 0.2 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384920 1e-06 0.001 1.5 0.2 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384923 1e-06 0.001 1.5 0.2 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384926 1e-06 0.001 1.5 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384929 1e-06 0.001 1.5 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384935 1e-06 0.001 1.5 0.2 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384947 1e-06 0.001 1.5 0.2 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384950 1e-06 0.001 1.5 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384953 1e-06 0.001 1.5 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384956 1e-06 0.001 1.5 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384959 1e-06 0.001 1.5 0.2 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384968 1e-06 0.001 3 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384977 1e-06 0.001 3 0.002 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384986 1e-06 0.001 3 0.002 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384989 1e-06 0.001 3 0.002 3 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3384992 1e-06 0.001 3 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384995 1e-06 0.001 3 0.002 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3384998 1e-06 0.001 3 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385001 1e-06 0.001 3 0.002 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385004 1e-06 0.001 3 0.002 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385007 1e-06 0.001 3 0.002 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385010 1e-06 0.001 3 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385013 1e-06 0.001 3 0.002 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385016 1e-06 0.001 3 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385019 1e-06 0.001 3 0.002 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385022 1e-06 0.001 3 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385028 1e-06 0.001 3 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385031 1e-06 0.001 3 0.2 1 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385034 1e-06 0.001 3 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385037 1e-06 0.001 3 0.2 2 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385040 1e-06 0.001 3 0.2 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385043 1e-06 0.001 3 0.2 2 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385046 1e-06 0.001 3 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385049 1e-06 0.001 3 0.2 3 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385052 1e-06 0.001 3 0.2 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385055 1e-06 0.001 3 0.2 3 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385058 1e-06 0.001 3 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385061 1e-06 0.001 3 0.2 4 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385064 1e-06 0.001 3 0.2 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385067 1e-06 0.001 3 0.2 4 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
3385070 1e-06 0.001 3 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3385073 1e-06 0.001 3 0.2 5 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2
3385076 1e-06 0.001 3 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3385079 1e-06 0.001 3 0.2 5 1000 0.1 0.25 0.25 1 -1 10000 21 1e-06 2
