"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3384362 1e-06 0 0.75 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384364 1e-06 0 0.75 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384366 1e-06 0 0.75 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384368 1e-06 0 0.75 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384370 1e-06 0 0.75 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384372 1e-06 0 0.75 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384374 1e-06 0 0.75 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384376 1e-06 0 0.75 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384378 1e-06 0 0.75 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384380 1e-06 0 0.75 0.002 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384382 1e-06 0 0.75 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384384 1e-06 0 0.75 0.002 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384386 1e-06 0 0.75 0.002 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384388 1e-06 0 0.75 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384390 1e-06 0 0.75 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384392 1e-06 0 0.75 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384394 1e-06 0 0.75 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384396 1e-06 0 0.75 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384398 1e-06 0 0.75 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384400 1e-06 0 0.75 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384402 1e-06 0 0.75 0.002 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384404 1e-06 0 0.75 0.002 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384406 1e-06 0 0.75 0.002 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384408 1e-06 0 0.75 0.002 4 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384410 1e-06 0 0.75 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384412 1e-06 0 0.75 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384414 1e-06 0 0.75 0.002 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384416 1e-06 0 0.75 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384418 1e-06 0 0.75 0.002 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384420 1e-06 0 0.75 0.002 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384422 1e-06 0 0.75 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384424 1e-06 0 0.75 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384426 1e-06 0 0.75 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384428 1e-06 0 0.75 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384430 1e-06 0 0.75 0.2 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384432 1e-06 0 0.75 0.2 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384434 1e-06 0 0.75 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384436 1e-06 0 0.75 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384438 1e-06 0 0.75 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384440 1e-06 0 0.75 0.2 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384442 1e-06 0 0.75 0.2 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384444 1e-06 0 0.75 0.2 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384446 1e-06 0 0.75 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384448 1e-06 0 0.75 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384450 1e-06 0 0.75 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384452 1e-06 0 0.75 0.2 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384454 1e-06 0 0.75 0.2 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384456 1e-06 0 0.75 0.2 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384458 1e-06 0 0.75 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384460 1e-06 0 0.75 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384462 1e-06 0 0.75 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384464 1e-06 0 0.75 0.2 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384466 1e-06 0 0.75 0.2 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384468 1e-06 0 0.75 0.2 4 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384470 1e-06 0 0.75 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384472 1e-06 0 0.75 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384474 1e-06 0 0.75 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384476 1e-06 0 0.75 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384478 1e-06 0 0.75 0.2 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384480 1e-06 0 0.75 0.2 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384482 1e-06 0 1.5 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384484 1e-06 0 1.5 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384486 1e-06 0 1.5 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384488 1e-06 0 1.5 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384490 1e-06 0 1.5 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384492 1e-06 0 1.5 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384494 1e-06 0 1.5 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384496 1e-06 0 1.5 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384498 1e-06 0 1.5 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384500 1e-06 0 1.5 0.002 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384502 1e-06 0 1.5 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384504 1e-06 0 1.5 0.002 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384506 1e-06 0 1.5 0.002 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384508 1e-06 0 1.5 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384510 1e-06 0 1.5 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384512 1e-06 0 1.5 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384514 1e-06 0 1.5 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384516 1e-06 0 1.5 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384518 1e-06 0 1.5 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384520 1e-06 0 1.5 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384522 1e-06 0 1.5 0.002 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384524 1e-06 0 1.5 0.002 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384526 1e-06 0 1.5 0.002 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384528 1e-06 0 1.5 0.002 4 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384530 1e-06 0 1.5 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384532 1e-06 0 1.5 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384534 1e-06 0 1.5 0.002 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384536 1e-06 0 1.5 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384538 1e-06 0 1.5 0.002 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384540 1e-06 0 1.5 0.002 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384542 1e-06 0 1.5 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384544 1e-06 0 1.5 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384546 1e-06 0 1.5 0.2 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384548 1e-06 0 1.5 0.2 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384550 1e-06 0 1.5 0.2 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384552 1e-06 0 1.5 0.2 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384554 1e-06 0 1.5 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384556 1e-06 0 1.5 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384558 1e-06 0 1.5 0.2 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384560 1e-06 0 1.5 0.2 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384562 1e-06 0 1.5 0.2 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384564 1e-06 0 1.5 0.2 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384566 1e-06 0 1.5 0.2 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384568 1e-06 0 1.5 0.2 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384570 1e-06 0 1.5 0.2 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384572 1e-06 0 1.5 0.2 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384574 1e-06 0 1.5 0.2 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384576 1e-06 0 1.5 0.2 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384578 1e-06 0 1.5 0.2 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384580 1e-06 0 1.5 0.2 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384582 1e-06 0 1.5 0.2 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384584 1e-06 0 1.5 0.2 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384586 1e-06 0 1.5 0.2 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384588 1e-06 0 1.5 0.2 4 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384590 1e-06 0 1.5 0.2 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384592 1e-06 0 1.5 0.2 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384594 1e-06 0 1.5 0.2 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384596 1e-06 0 1.5 0.2 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384598 1e-06 0 1.5 0.2 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384600 1e-06 0 1.5 0.2 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384602 1e-06 0 3 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384604 1e-06 0 3 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384606 1e-06 0 3 0.002 1 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384608 1e-06 0 3 0.002 1 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384610 1e-06 0 3 0.002 1 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384612 1e-06 0 3 0.002 1 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384614 1e-06 0 3 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384616 1e-06 0 3 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384618 1e-06 0 3 0.002 2 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384620 1e-06 0 3 0.002 2 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384622 1e-06 0 3 0.002 2 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384624 1e-06 0 3 0.002 2 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384626 1e-06 0 3 0.002 3 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384628 1e-06 0 3 0.002 3 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384630 1e-06 0 3 0.002 3 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384632 1e-06 0 3 0.002 3 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384634 1e-06 0 3 0.002 3 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384636 1e-06 0 3 0.002 3 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384638 1e-06 0 3 0.002 4 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384640 1e-06 0 3 0.002 4 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384642 1e-06 0 3 0.002 4 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384644 1e-06 0 3 0.002 4 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384646 1e-06 0 3 0.002 4 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384648 1e-06 0 3 0.002 4 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384650 1e-06 0 3 0.002 5 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
3384652 1e-06 0 3 0.002 5 1000 0 0.1 0.1 1 -1 10000 21 1e-06 2
3384654 1e-06 0 3 0.002 5 1000 0 0.4 0.4 1 -1 10000 21 1e-06 2
3384656 1e-06 0 3 0.002 5 1000 0.1 0.001 0.001 1 -1 10000 21 1e-06 2
3384658 1e-06 0 3 0.002 5 1000 0.1 0.1 0.1 1 -1 10000 21 1e-06 2
3384660 1e-06 0 3 0.002 5 1000 0.1 0.4 0.4 1 -1 10000 21 1e-06 2
3384662 1e-06 0 3 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 1e-06 2
