"seed" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom"
3383282 0.0000001 0 0.9 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383283 0.0000001 0 0.9 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383284 0.0000001 0 0.9 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383285 0.0000001 0 0.9 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383286 0.0000001 0 0.9 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383287 0.0000001 0 0.9 0.002 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383288 0.0000001 0 0.9 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383289 0.0000001 0 0.9 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383290 0.0000001 0 0.9 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383291 0.0000001 0 0.9 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383292 0.0000001 0 0.9 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383293 0.0000001 0 0.9 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383294 0.0000001 0 0.9 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383295 0.0000001 0 0.9 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383296 0.0000001 0 0.9 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383297 0.0000001 0 0.9 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383298 0.0000001 0.001 0.9 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383299 0.0000001 0.001 0.9 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383300 0.0000001 0.001 0.9 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383301 0.0000001 0.001 0.9 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383302 0.0000001 0.001 0.9 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383303 0.0000001 0.001 0.9 0.002 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383304 0.0000001 0.001 0.9 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383305 0.0000001 0.001 0.9 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383306 0.0000001 0.001 0.9 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383307 0.0000001 0.001 0.9 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383308 0.0000001 0.001 0.9 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383309 0.0000001 0.001 0.9 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383310 0.0000001 0.001 0.9 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383311 0.0000001 0.001 0.9 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383312 0.0000001 0.001 0.9 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383313 0.0000001 0.001 0.9 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383314 0.000001 0 0.9 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383315 0.000001 0 0.9 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383316 0.000001 0 0.9 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383317 0.000001 0 0.9 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383318 0.000001 0 0.9 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383319 0.000001 0 0.9 0.002 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383320 0.000001 0 0.9 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383321 0.000001 0 0.9 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383322 0.000001 0 0.9 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383323 0.000001 0 0.9 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383324 0.000001 0 0.9 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383325 0.000001 0 0.9 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383326 0.000001 0 0.9 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383327 0.000001 0 0.9 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383328 0.000001 0 0.9 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383329 0.000001 0 0.9 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383330 0.000001 0.001 0.9 0.002 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383331 0.000001 0.001 0.9 0.002 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383332 0.000001 0.001 0.9 0.002 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383333 0.000001 0.001 0.9 0.002 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383334 0.000001 0.001 0.9 0.002 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383335 0.000001 0.001 0.9 0.002 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383336 0.000001 0.001 0.9 0.002 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383337 0.000001 0.001 0.9 0.002 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383338 0.000001 0.001 0.9 0.2 1 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383339 0.000001 0.001 0.9 0.2 1 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383340 0.000001 0.001 0.9 0.2 1 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383341 0.000001 0.001 0.9 0.2 1 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
3383342 0.000001 0.001 0.9 0.2 2 1000 0 0.001 0.001 1 -1 10000 21 0.000001 2
3383343 0.000001 0.001 0.9 0.2 2 1000 0 0.01 0.01 1 -1 10000 21 0.000001 2
3383344 0.000001 0.001 0.9 0.2 2 1000 0 0.1 0.1 1 -1 10000 21 0.000001 2
3383345 0.000001 0.001 0.9 0.2 2 1000 0 0.5 0.5 1 -1 10000 21 0.000001 2
