position mutID selCoef originGen type freq p1freq p2freq adapPhenoDiv FST 
406557 41256000 -0.000629387 49013 m2 0.3385 0.382 0.295 -0.000348 0.00845065
1569697 39805794 -0.000944554 47289 m2 0.1015 0.0745 0.1285 0.000216 0.00799362
1394410 3386530 0.00332757 4022 m2 0.62 0.7865 0.4535 -0.001332 0.117667
1809889 41574016 -0.000170548 49390 m2 0.6295 0.621 0.638 6.8e-05 0.00030978
1422366 15160463 0.00208855 18014 m2 0.496 0.703 0.289 -0.001656 0.171407
781599 13765243 -0.00305354 16356 m2 0.5025 0.3 0.705 0.00162 0.164029
1799233 41616334 0.000316084 49441 m2 0.091 0.0885 0.0935 2e-05 7.5557e-05
1382530 7894323 -0.000216222 9376 m2 0.62 0.7865 0.4535 -0.001332 0.117667
636971 30851513 0.00228498 36653 m2 0.49075 0.278 0.7035 0.001702 0.181112
1411063 40223488 -0.0016519 47786 m2 0.34175 0.396 0.2875 -0.000434 0.0130828
782945 11606023 0.00188704 13788 m2 0.4975 0.7 0.295 -0.00162 0.164029
647046 22454810 0.000214892 26675 m2 0.49075 0.278 0.7035 0.001702 0.181112
1349129 19585177 -0.00162198 23269 m2 0.62 0.7865 0.4535 -0.001332 0.117667
754056 10903285 9.84628e-06 12953 m2 0.4975 0.7 0.295 -0.00162 0.164029
783479 23908338 -0.00155056 28404 m2 0.5025 0.3 0.705 0.00162 0.164029
1424193 41738188 0.00360332 49586 m2 0.145 0.2045 0.0855 -0.000476 0.0285562
633056 27157077 0.00205198 32266 m2 0.49075 0.278 0.7035 0.001702 0.181112
2703 41564357 0.000612393 49379 m2 0.15125 0.1885 0.114 -0.000298 0.0108088
1368962 26497268 -0.00139704 31482 m2 0.38 0.2135 0.5465 0.001332 0.117667
1682518 40629540 0.00252189 48269 m2 0.1065 0.109 0.104 -2e-05 6.56804e-05
1079672 40298061 0.001704 47875 m2 0.309 0.3355 0.2825 -0.000212 0.00328893
950972 41556250 -0.0015212 49369 m2 0.09725 0.0775 0.117 0.000158 0.00444301
1627237 40360519 0.00134953 47949 m2 0.391 0.39 0.392 8e-06 4.19958e-06
1929689 37421705 0.000802185 44456 m2 0.71725 0.7565 0.678 -0.000314 0.00759637
666768 6018850 -0.00379041 7149 m2 0.48375 0.267 0.7005 0.001734 0.188121
628549 26844990 0.00256068 31896 m2 0.50925 0.722 0.2965 -0.001702 0.181112
1441703 25773537 0.0008425 30624 m2 0.496 0.703 0.289 -0.001656 0.171407
395451 41938807 0.000416433 49825 m2 0.13075 0.1705 0.091 -0.000318 0.0139023
1581187 40948591 -0.000363202 48648 m2 0.12075 0.1355 0.106 -0.000118 0.0020492
487884 40774026 0.00243194 48440 m2 0.34025 0.302 0.3785 0.000306 0.00651756
1381761 34622664 -0.0011011 41132 m2 0.62 0.7865 0.4535 -0.001332 0.117667
720423 41086975 -0.00133924 48812 m2 0.0915 0.047 0.136 0.000356 0.0238218
1252946 41719831 0.000730095 49564 m2 0.17975 0.1655 0.194 0.000114 0.00137726
1004273 38243915 0.00200213 45431 m2 0.5605 0.5845 0.5365 -0.000192 0.00233823
807184 40321956 -0.00221877 47903 m2 0.1105 0.1315 0.0895 -0.000168 0.00448673
1999551 41031752 0.000374775 48747 m2 0.13175 0.123 0.1405 7e-05 0.0006693
1369296 40484459 -0.0018155 48096 m2 0.13075 0.143 0.1185 -9.8e-05 0.00132034
183658 41478136 -0.00166978 49277 m2 0.13275 0.1215 0.144 9e-05 0.00109933
1559475 37100388 -0.00207096 44073 m2 0.87225 0.872 0.8725 2e-06 5.60891e-07
1442465 36389329 -0.00473251 43230 m2 0.504 0.297 0.711 0.001656 0.171407
658848 20893354 0.000587189 24822 m2 0.49075 0.278 0.7035 0.001702 0.181112
1470851 15348180 -0.0022927 18237 m2 0.501 0.304 0.698 0.001576 0.155237
1633302 35129589 0.00180578 41733 m2 0.67875 0.6475 0.71 0.00025 0.00447865
277740 40769593 0.00115184 48435 m2 0.37625 0.328 0.4245 0.000386 0.00991991
896684 37687606 -0.00200559 44771 m2 0.53425 0.505 0.5635 0.000234 0.00343838
1521824 38938609 0.00161889 46258 m2 0.11575 0.118 0.1135 -1.8e-05 4.94617e-05
781536 21718798 -7.47421e-05 25803 m2 0.5025 0.3 0.705 0.00162 0.164029
1478158 18153352 -0.0024814 21568 m2 0.501 0.304 0.698 0.001576 0.155237
1268655 41891682 -0.000957697 49769 m2 0.183 0.173 0.193 8e-05 0.000668847
647476 29042587 0.000240749 34505 m2 0.50925 0.722 0.2965 -0.001702 0.181112
629297 11489891 -0.000278503 13650 m2 0.49075 0.278 0.7035 0.001702 0.181112
1574250 41421519 -0.000562088 49210 m2 0.24925 0.2435 0.255 4.6e-05 0.000176687
724761 41816893 0.00178217 49679 m2 0.12375 0.0695 0.178 0.000434 0.027141
1368054 25848940 0.000700795 30713 m2 0.38 0.2135 0.5465 0.001332 0.117667
1157981 41882133 0.000600792 49758 m2 0.075 0.0585 0.0915 0.000132 0.00392432
657380 35895461 -0.000633882 42642 m2 0.49075 0.278 0.7035 0.001702 0.181112
1466346 5948669 -0.00186948 7066 m2 0.501 0.304 0.698 0.001576 0.155237
805302 39450526 0.000484678 46867 m2 0.59575 0.56 0.6315 0.000286 0.00530686
1943290 38117509 0.00543288 45281 m2 0.3385 0.3425 0.3345 -3.2e-05 7.14548e-05
1387640 30484093 0.00414295 36217 m2 0.38 0.2135 0.5465 0.001332 0.117667
