position mutID selCoef originGen type freq p1freq p2freq adapPhenoDiv FST 
1549908 39951692 -0.000905118 47471 m2 0.24525 0.2615 0.229 -0.00013 0.00142657
240342 15248349 -0.00022013 18115 m2 0.48625 0.68 0.2925 -0.00155 0.15027
262411 27634980 -0.00127286 32833 m2 0.48625 0.68 0.2925 -0.00155 0.15027
1181566 8254546 -0.00212095 9808 m2 0.491 0.335 0.647 0.001248 0.0973755
425971 41430931 0.00104283 49228 m2 0.413 0.4505 0.3755 -0.0003 0.00580062
1347181 28498442 0.00228181 33858 m2 0.42 0.337 0.503 0.000664 0.02828
1054238 15010798 -0.00284099 17832 m2 0.53575 0.4075 0.664 0.001026 0.0661303
112902 41872490 0.00227356 49753 m2 0.0515 0.0435 0.0595 6.4e-05 0.00131019
261768 9691365 -0.00317521 11515 m2 0.51375 0.32 0.7075 0.00155 0.15027
906805 41446708 0.00504134 49247 m2 0.142 0.1555 0.1285 -0.000108 0.00149586
1444530 40855959 -0.00222132 48546 m2 0.28575 0.28 0.2915 4.6e-05 0.000161994
1046046 27129904 -0.00336179 32233 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
624351 12797361 -0.00216891 15201 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1058448 15078210 0.000706324 17913 m2 0.53575 0.4075 0.664 0.001026 0.0661303
216324 36780149 -5.51714e-05 43700 m2 0.2115 0.271 0.152 -0.000476 0.0212286
233351 41664197 -0.00181511 49506 m2 0.1045 0.151 0.058 -0.000372 0.023106
1640942 41799150 0.000394336 49666 m2 0.1995 0.1775 0.2215 0.000176 0.00303069
1072419 36610258 -0.00235311 43498 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
630682 12230662 -0.00286164 14528 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1924156 41172420 0.00120213 48922 m2 0.13 0.1585 0.1015 -0.000228 0.0071817
124993 40439367 -0.000571749 48051 m2 0.3525 0.3565 0.3485 -3.2e-05 7.01005e-05
1003841 41793619 0.00147472 49659 m2 0.06475 0.064 0.0655 6e-06 9.2887e-06
1168288 1139190 -0.00120852 1353 m2 0.491 0.335 0.647 0.001248 0.0973755
14179 39664692 -0.00112256 47129 m2 0.35625 0.3685 0.344 -9.8e-05 0.000654335
1043702 41394511 0.00202864 49185 m2 0.198 0.142 0.254 0.000448 0.0197486
1055387 14104128 0.0058192 16757 m2 0.46425 0.5925 0.336 -0.001026 0.0661303
1184116 28901185 0.00466505 34338 m2 0.509 0.665 0.353 -0.001248 0.0973755
1165959 41846334 -0.00104867 49721 m2 0.051 0.0355 0.0665 0.000124 0.00496395
1030541 24444850 -6.83115e-05 29044 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1363131 40269995 -0.00136624 47850 m2 0.293 0.315 0.271 -0.000176 0.00233646
1324030 31039137 0.000149843 36878 m2 0.42 0.337 0.503 0.000664 0.02828
1752465 38971954 0.00105424 46307 m2 0.48775 0.5005 0.475 -0.000102 0.000650641
1233549 39607089 0.00322315 47061 m2 0.3355 0.333 0.338 2e-05 2.80345e-05
445505 11511019 0.00218554 13673 m2 0.552 0.6615 0.4425 -0.000876 0.0484854
1870582 41623231 -0.00213643 49457 m2 0.1135 0.0935 0.1335 0.00016 0.00397544
449923 40451692 0.0014512 48065 m2 0.20975 0.14 0.2795 0.000558 0.0293509
222253 31740600 -0.000572793 37713 m2 0.48625 0.68 0.2925 -0.00155 0.15027
255348 18648263 -0.00135045 22155 m2 0.51375 0.32 0.7075 0.00155 0.15027
265642 36721530 0.000126764 43630 m2 0.51375 0.32 0.7075 0.00155 0.15027
1452351 39969006 -0.00058069 47492 m2 0.0635 0.0705 0.0565 -5.6e-05 0.000823976
1934522 38188689 0.00261756 45375 m2 0.8785 0.8765 0.8805 1.6e-05 3.7475e-05
220412 39132957 -0.00230381 46498 m2 0.1355 0.0895 0.1815 0.000368 0.0180639
510509 40560955 0.0023887 48196 m2 0.234 0.209 0.259 0.0002 0.00348687
1184916 32103949 0.00111149 38144 m2 0.509 0.665 0.353 -0.001248 0.0973755
1858825 41603833 0.000102945 49434 m2 0.1205 0.109 0.132 9.2e-05 0.00124788
1179245 13111187 0.000545685 15575 m2 0.509 0.665 0.353 -0.001248 0.0973755
470348 20229167 -0.00311307 24034 m2 0.448 0.3385 0.5575 0.000876 0.0484854
242123 11756814 0.000204887 13965 m2 0.48625 0.68 0.2925 -0.00155 0.15027
71677 34995316 0.00113733 41578 m2 0.40775 0.426 0.3895 -0.000146 0.0013792
535366 41873505 0.00356415 49754 m2 0.15 0.1635 0.1365 -0.000108 0.00142941
637287 28319571 0.002961 33646 m2 0.56725 0.421 0.7135 0.00117 0.0871325
1072265 18195115 -5.3029e-05 21617 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1038607 18443235 -0.00214863 21912 m2 0.53575 0.4075 0.664 0.001026 0.0661303
1618124 40948670 0.00146546 48656 m2 0.09 0.0835 0.0965 5.2e-05 0.000515873
1325771 30405437 -0.00207347 36123 m2 0.42 0.337 0.503 0.000664 0.02828
