"seed" "inv_id" "sim_gen" "freq" "freq_p1" "freq_p2" "num_qtns" "mean_qtnSelCoef" "sd_qtnSelCoef" "mean_qtnDom" "sd_qtnDom" "inv_FST" "muBase" "muInv" "sigmaK" "alpha" "rep" "n" "enVar" "mig1" "mig2" "theta1" "theta2" "burnin" "chromNum" "r" "dom" "inv_originGen" "inv_pos" "inv_end" "inv_length"
"3384725" 1001423 1200 0.009 0.01 0.008 3 -0.00145824 0.00372294 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 1189 1960312 1990368 30057
"3384725" 1001424 1200 0.004 0.0045 0.0035 0 0 0 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 1189 2032465 2039812 7348
"3384725" 10016277 12400 0.005 0.0055 0.0045 55 -0.000149728 0.00207182 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 11901 815817 860611 44795
"3384725" 10016277 12200 0.0075 0.009 0.006 53 -0.000102311 0.0020917 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 11901 815817 860611 44795
"3384725" 10016277 12000 0.0365 0.03 0.043 54 -5.08503e-05 0.00202931 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 11901 815817 860611 44795
"3384725" 10040331 12000 0.003 0.003 0.003 49 0.000112502 0.00211328 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 11930 826163 873983 47821
"3384725" 1004833 1200 5e-04 0 0.001 3 -0.000397889 0.00141785 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 1193 841912 855563 13652
"3384725" 10051277 12000 0.00675 0.009 0.0045 9 -0.000288706 0.00155896 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 11943 161369 173521 12153
"3384725" 1005713 1200 0.00075 5e-04 0.001 1 -0.00155346 0 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 1194 1032308 1053548 21241
"3384725" 10063947 12000 0.00125 0.0015 0.001 71 4.26276e-05 0.00210404 0 0 0 1e-06 0.001 0.75 0.002 1 1000 0 0.25 0.25 1 -1 10000 21 1e-06 2 11958 1239266 1287626 48361
