inv_id sim_gen inv_originGen inv_pos inv_end inv_length 
4383 200 51 1933628 1964293 30666
5372 200 62 1421489 1457845 36357
7443 200 85 33676 59990 26315
9717 200 111 1963220 1973867 10648
14557 200 167 2057103 2075246 18144
11918 200 137 1045532 1075071 29540
9879 200 113 715425 748243 32819
14381 200 165 49970 92556 42587
13394 200 154 138192 144609 6418
14555 200 167 1908156 1916478 8323
16844 200 194 1060446 1075211 14766
16096 200 185 747751 781754 34004
16174 200 186 2071415 2085891 14477
15316 200 176 441662 462389 20728
16510 200 190 1812679 1836671 23993
17029 200 196 688593 696633 8041
17209 200 198 1936824 1965618 28795
17311 200 199 1601643 1635671 34029
21815 400 251 572919 584643 11725
33840 400 390 1605627 1625416 19790
34575 400 398 807456 841792 34337
32915 400 379 58672 72938 14267
34388 400 396 2025176 2031313 6138
33401 400 385 653602 687290 33689
33003 400 380 1383890 1393895 10006
29383 400 338 1814285 1862533 48249
27451 400 316 650163 652250 2088
34298 400 395 1750194 1795648 45455
32759 400 377 430810 456848 26039
26746 400 308 668894 696612 27719
28436 400 327 1956010 1987752 31743
33752 400 389 154109 175814 21706
29147 400 335 1422880 1430554 7675
34387 400 396 763310 777088 13779
34478 400 397 203800 229741 25942
34476 400 397 551069 592707 41639
34573 400 398 526509 570791 44283
34574 400 398 326590 355622 29033
34664 400 399 1365315 1384594 19280
34665 400 399 571068 575554 4487
45542 600 525 805519 854308 48790
51453 600 595 112805 155300 42496
35143 600 405 1413731 1438232 24502
48167 600 556 1859566 1880802 21237
50274 600 581 934809 976363 41555
51687 600 598 314130 324889 10760
37088 600 427 1156239 1194877 38639
38234 600 440 1258505 1291633 33129
51534 600 596 2025631 2027774 2144
49773 600 575 125814 173132 47319
41734 600 481 1084200 1097363 13164
49965 600 577 16186 63785 47600
51203 600 592 2085752 2086313 562
48768 600 563 875402 880956 5555
45113 600 520 1602137 1649548 47412
45795 600 528 1661390 1695966 34577
48258 600 557 958653 999943 41291
51449 600 595 1926624 1939211 12588
51450 600 595 1446065 1485886 39822
51784 600 599 38465 64266 25802
61788 800 717 1209389 1254515 45127
65709 800 762 405333 421251 15919
66267 800 769 659092 694836 35745
68390 800 794 1772558 1784759 12202
68217 800 792 1230219 1272668 42450
66016 800 766 1847063 1879893 32831
68295 800 793 166165 192068 25904
66959 800 777 2011587 2023641 12055
58028 800 673 1804941 1823095 18155
60468 800 701 28055 55556 27502
66265 800 769 421704 440623 18920
68477 800 795 1337869 1340375 2507
67733 800 786 4148 50974 46827
68821 800 799 61437 84705 23269
84155 1000 975 1432617 1469891 37275
84722 1000 982 1226951 1266842 39892
78963 1000 915 102816 151390 48575
79589 1000 922 338960 382994 44035
76644 1000 888 916317 952273 35957
85882 1000 996 1872026 1882000 9975
74156 1000 859 1015414 1038794 23381
85493 1000 991 532415 569997 37583
84405 1000 978 1218110 1218584 475
85399 1000 990 2018578 2059819 41242
85881 1000 996 1532429 1576567 44139
85980 1000 997 1746987 1755153 8167
86161 1000 999 1136860 1147316 10457
99896 1200 1158 1909342 1957060 47719
100733 1200 1168 810753 851164 40412
95668 1200 1110 936002 956749 20748
92206 1200 1070 1440940 1484054 43115
98448 1200 1142 1349572 1392908 43337
102314 1200 1187 633067 650238 17172
101463 1200 1177 116408 120831 4424
103133 1200 1196 541776 580337 38562
103025 1200 1195 1951287 1998828 47542
102764 1200 1192 521713 567503 45791
103324 1200 1198 384480 397954 13475
103435 1200 1199 1330430 1362387 31958
114688 1400 1331 1257569 1272964 15396
118975 1400 1379 1845268 1866681 21414
116902 1400 1356 567196 569641 2446
119833 1400 1389 1500620 1534192 33573
119903 1400 1390 301427 351013 49587
103887 1400 1204 1632967 1641042 8076
112381 1400 1304 1526370 1561071 34702
120418 1400 1396 72798 94109 21312
117330 1400 1361 714647 749502 34856
115823 1400 1344 1022374 1064920 42547
120156 1400 1393 1300449 1309719 9271
115218 1400 1337 721167 733675 12509
120642 1400 1399 639016 664572 25557
134164 1600 1557 175142 192161 17020
136311 1600 1582 7509 25808 18300
137525 1600 1596 1001322 1041877 40556
121189 1600 1405 2063486 2085206 21721
135585 1600 1573 2045513 2053170 7658
120926 1600 1402 142714 167180 24467
136057 1600 1579 921305 926384 5080
132272 1600 1535 1500006 1508718 8713
137633 1600 1597 2014735 2039498 24764
125151 1600 1451 1562936 1591113 28178
137095 1600 1591 1466040 1471886 5847
136743 1600 1587 1020856 1039517 18662
136665 1600 1586 54195 90064 35870
137420 1600 1595 1642807 1666927 24121
137256 1600 1593 1577661 1586884 9224
137792 1600 1599 1967755 1995624 27870
137793 1600 1599 641541 690751 49211
154161 1800 1788 735441 744740 9300
149725 1800 1737 2057633 2091594 33962
155032 1800 1798 184494 191458 6965
149043 1800 1729 1948596 1964925 16330
152067 1800 1764 1909871 1953608 43738
154873 1800 1796 1717539 1745397 27859
140035 1800 1625 1842111 1856114 14004
142593 1800 1655 366706 383169 16464
149805 1800 1738 1895463 1899609 4147
154770 1800 1795 1768952 1780259 11308
151199 1800 1754 1204058 1209123 5066
154685 1800 1794 1423823 1453973 30151
154683 1800 1794 923662 965259 41598
155137 1800 1799 828179 858412 30234
155138 1800 1799 1529862 1577231 47370
155139 1800 1799 1210502 1229115 18614
155140 1800 1799 1354711 1396390 41680
164270 2000 1905 1322552 1355287 32736
166633 2000 1932 636375 640741 4367
155542 2000 1804 482923 496333 13411
169105 2000 1961 1532915 1542373 9459
171428 2000 1989 949826 977478 27653
