sim_gen inv_id qtn_id qtn_freqP1 qtn_freqP2 qtn_freq qtn_FST 
400 34298 1495 0.152 0.134 0.143 0.000660949
400 34298 17757 0.063 0.0615 0.06225 9.63598e-06
400 33752 33199 0.0025 0.0015 0.002 NAN
600 5372 50704 0.003 0.002 0.0025 NAN
600 48167 28990 0.05 0.0425 0.04625 NAN
600 51687 18395 0.0305 0.0285 0.0295 NAN
600 26746 51695 0.0005 0 0.00025 NAN
600 26746 46492 0.004 0.004 0.004 NAN
600 26746 51327 0.0005 0.001 0.00075 NAN
600 49773 9105 0.065 0.0535 0.05925 0.000593162
600 49965 42687 0.0005 0.001 0.00075 NAN
800 61788 60640 0.0005 0 0.00025 NAN
800 5372 50704 0.014 0.016 0.015 NAN
800 5372 68362 0.004 0.0025 0.00325 NAN
800 5372 65837 0.002 0.0025 0.00225 NAN
800 5372 68223 0.001 0.0005 0.00075 NAN
800 5372 68267 0.002 0.0025 0.00225 NAN
800 5372 58071 0.007 0.006 0.0065 NAN
800 5372 67478 0.004 0.005 0.0045 NAN
800 5372 67642 0.0025 0.002 0.00225 NAN
800 48258 64776 0.0035 0.004 0.00375 NAN
800 17029 62252 0.0175 0.0185 0.018 NAN
800 17029 65123 0.004 0.0045 0.00425 NAN
800 60468 14865 0.111 0.094 0.1025 0.000785379
800 67733 29807 0.04 0.0455 0.04275 NAN
1000 5372 82264 0.006 0.0025 0.00425 NAN
1000 5372 85349 0.0025 0.002 0.00225 NAN
1000 5372 85126 0.0025 0 0.00125 NAN
1000 5372 86077 0.0005 0 0.00025 NAN
1000 5372 68362 0.0015 0.0035 0.0025 NAN
1000 5372 86150 0 0.0005 0.00025 NAN
1000 84722 54678 0.139 0.1205 0.12975 0.000757761
1000 78963 41886 0.0505 0.0375 0.044 NAN
1000 78963 72678 0.005 0.0025 0.00375 NAN
1000 48258 64776 0.0265 0.0255 0.026 NAN
1000 48258 82631 0.0075 0.0085 0.008 NAN
1000 48258 83975 0 0.0005 0.00025 NAN
1000 29383 85244 0.0045 0.0045 0.0045 NAN
1000 17029 78298 0.007 0.0055 0.00625 NAN
1000 17029 62252 0.0105 0.01 0.01025 NAN
1000 38234 73770 0.0235 0.023 0.02325 NAN
1000 38234 82446 0.0145 0.011 0.01275 NAN
1000 74156 84458 0.003 0.0035 0.00325 NAN
1000 60468 14865 0.233 0.218 0.2255 0.000322073
1000 85493 10010 0.1285 0.1305 0.1295 8.87077e-06
1000 85493 74493 0.033 0.032 0.0325 7.95071e-06
1200 99896 91906 0.0305 0.0435 0.037 NAN
1200 5372 89714 0.0235 0.0195 0.0215 NAN
1200 5372 68362 0.016 0.0175 0.01675 NAN
1200 5372 100700 0.011 0.0135 0.01225 NAN
1200 5372 99999 0.007 0.006 0.0065 NAN
1200 5372 103334 0.0005 0 0.00025 NAN
1200 5372 101857 0.003 0.004 0.0035 NAN
1200 5372 103363 0.0005 0 0.00025 NAN
1200 92206 97593 0.003 0.003 0.003 NAN
1200 76644 94012 0.0005 0.0005 0.0005 NAN
1200 76644 93468 0 0.001 0.0005 NAN
1200 29383 85244 0.0575 0.0595 0.0585 1.81562e-05
1200 17029 78298 0.0095 0.0155 0.0125 NAN
1200 17029 62252 0.0175 0.017 0.01725 NAN
1200 17029 101361 0.0045 0.002 0.00325 NAN
1200 38234 103415 0 0.0005 0.00025 NAN
1200 26746 102429 0.0035 0.001 0.00225 NAN
1200 102314 82466 0.0085 0.008 0.00825 NAN
1200 102314 12480 0.0085 0.008 0.00825 NAN
1200 60468 14865 0.205 0.2055 0.20525 3.83148e-07
1400 5372 68362 0.0165 0.016 0.01625 NAN
1400 5372 89714 0.024 0.0195 0.02175 NAN
1400 5372 117157 0.013 0.0115 0.01225 NAN
1400 5372 106781 0.02 0.0165 0.01825 NAN
1400 5372 99999 0.0035 0.0015 0.0025 NAN
1400 5372 120488 0 0.0005 0.00025 NAN
1400 5372 120529 0 0.0005 0.00025 NAN
1400 92206 97593 0.0005 0.0005 0.0005 NAN
1400 48258 120237 0.0025 0.0035 0.003 NAN
1400 48258 119696 0.003 0.001 0.002 NAN
1400 119833 112235 0.063 0.069 0.066 0.000146
1400 29383 85244 0.078 0.068 0.073 0.000369434
1400 29383 120133 0.0005 0 0.00025 0.000250063
1400 17029 78298 0.0115 0.0095 0.0105 NAN
1400 17029 62252 0.0255 0.02 0.02275 NAN
1400 17029 120559 0 0.0005 0.00025 NAN
1400 58028 120356 0.001 0.0005 0.00075 NAN
1400 26746 118630 0.001 0.004 0.0025 NAN
1400 26746 120596 0.0005 0 0.00025 NAN
1400 26746 120474 0.0005 0.0005 0.0005 NAN
1400 112381 13509 0.2685 0.271 0.26975 7.93208e-06
1400 115823 43110 0.3555 0.338 0.34675 0.000338003
1400 115218 24974 0.168 0.147 0.1575 0.000830861
1600 5372 106781 0.0505 0.049 0.04975 NAN
1600 5372 130410 0.0225 0.022 0.02225 NAN
1600 5372 131416 0.0125 0.0105 0.0115 NAN
1600 5372 137561 0.001 0.001 0.001 NAN
1600 134164 30219 0.3955 0.3985 0.397 9.39885e-06
1600 137525 94827 0.083 0.0735 0.07825 0.000312817
1600 48258 119696 0.0445 0.043 0.04375 NAN
1600 48258 129122 0.0085 0.0085 0.0085 NAN
1600 48258 136618 0.0035 0.0035 0.0035 NAN
1600 48258 137482 0.0005 0.001 0.00075 NAN
1600 29383 85244 0.061 0.049 0.055 0.000692641
1600 17029 62252 0.0265 0.0225 0.0245 NAN
1600 17029 131569 0.005 0.008 0.0065 NAN
1600 38234 131421 0.029 0.02 0.0245 NAN
1600 38234 137724 0.0005 0 0.00025 NAN
1600 120926 134097 0.015 0.0245 0.01975 NAN
1600 125151 51220 0.1065 0.0955 0.101 0.000333153
1600 136665 58428 0.1725 0.171 0.17175 3.95425e-06
1600 137420 66490 0.062 0.061 0.0615 4.33142e-06
1600 137792 86434 0.0895 0.076 0.08275 0.000600277
1600 137793 73351 0.458 0.4385 0.44825 0.000384367
1800 114688 154214 0.003 0.003 0.003 NAN
1800 114688 151074 0.0035 0.0045 0.004 NAN
1800 5372 106781 0.099 0.111 0.105 0.000383081
1800 5372 150504 0.0025 0.0015 0.002 0.000125251
1800 5372 155041 0.0005 0 0.00025 0.000250063
1800 5372 154983 0.0005 0 0.00025 0.000250063
