inv_id sim_gen inv_originGen inv_pos inv_end inv_length 
75004 200 89 2007075 2050455 43381
116204 200 138 1011297 1036071 24775
144153 200 171 1006890 1031918 25029
144972 200 172 1649324 1697918 48595
144971 200 172 418522 425252 6731
148281 200 176 1162776 1193688 30913
161774 200 192 222470 265013 42544
160941 200 191 1057089 1067048 9960
162581 200 193 1856836 1897140 40305
162582 200 193 325034 374528 49495
165111 200 196 1338845 1352743 13899
166821 200 198 1838794 1883782 44989
168500 200 200 357769 385926 28158
168501 200 200 1982022 1984033 2012
316782 400 376 113876 140104 26229
304951 400 362 1608276 1654220 45945
320189 400 380 13251 25568 12318
333611 400 396 113138 135531 22394
251308 400 298 1331319 1351720 20402
336000 400 399 2057369 2097967 40599
314299 400 373 366464 399790 33327
317667 400 377 1449007 1480456 31450
332741 400 395 1332428 1375606 43179
331039 400 393 2093233 2096993 3761
325298 400 386 728311 750100 21790
332740 400 395 1676173 1697425 21253
334387 400 397 1990235 1994926 4692
327743 400 389 1925970 1958210 32241
335178 400 398 233803 257915 24113
326942 400 388 2035979 2083902 47924
326943 400 388 1014866 1057459 42594
336872 400 400 304700 308918 4219
336873 400 400 629928 677885 47958
336874 400 400 1925541 1933307 7767
457791 600 543 131615 165077 33463
505034 600 599 41678 51220 9543
461167 600 547 1002796 1051002 48207
405408 600 481 1229631 1261079 31449
446834 600 530 507868 542193 34326
482409 600 572 1047348 1091361 44014
371593 600 441 486535 492126 5592
482408 600 572 937546 958576 21031
449375 600 533 466563 473698 7136
487496 600 578 1235911 1244380 8470
473012 600 561 1312249 1327946 15698
489159 600 580 1245899 1282483 36585
480679 600 570 1621662 1626096 4435
496707 600 589 1052269 1070458 18190
499994 600 593 1738691 1767781 29091
499993 600 593 1928468 1939592 11125
501708 600 595 1016263 1061391 45129
501709 600 595 1325207 1337319 12113
504238 600 598 913368 930241 16874
503376 600 597 1224280 1257463 33184
504236 600 598 167666 193268 25603
505902 600 600 1132490 1168086 35597
593131 800 704 769292 793497 24206
649756 800 771 810196 812942 2747
637239 800 756 1010281 1044926 34646
642261 800 762 569706 592469 22764
520117 800 617 107109 119480 12372
665920 800 790 1252311 1299494 47184
634665 800 753 1024625 1072373 47749
641420 800 761 715404 759468 44065
668415 800 793 1771774 1783298 11525
671704 800 797 1730734 1751061 20328
661668 800 785 1667891 1694354 26464
659175 800 782 538048 554161 16114
660049 800 783 1442424 1461483 19060
672554 800 798 2048352 2094129 45778
672555 800 798 1950485 1994626 44142
674247 800 800 511465 556858 45394
674248 800 800 1018980 1060379 41400
682664 1000 810 1332227 1363577 31351
834667 1000 991 802491 832738 30248
714632 1000 848 2062783 2099860 37078
738970 1000 877 1342936 1391440 48505
832205 1000 988 760235 763093 2859
830519 1000 986 643097 688860 45764
683468 1000 811 401202 420763 19562
838034 1000 995 1543587 1562974 19388
830520 1000 986 934836 971733 36898
681036 1000 808 167370 167617 248
703636 1000 835 624244 672492 48249
831399 1000 987 1170110 1173076 2967
730597 1000 867 931421 940531 9111
770164 1000 914 164567 171030 6464
812918 1000 965 560513 575600 15088
830517 1000 986 1803718 1813514 9797
828066 1000 983 1343135 1384506 41372
839687 1000 997 1505166 1551397 46232
841430 1000 999 1802456 1816609 14154
839689 1000 997 1947983 1981984 34002
842351 1000 1000 1970811 1996943 26133
881630 1200 1047 534447 576333 41887
1003464 1200 1192 1758735 1762041 3307
982408 1200 1167 1206196 1237182 30987
958941 1200 1139 59830 88212 28383
981548 1200 1166 36870 48067 11198
901832 1200 1071 610245 644594 34350
968144 1200 1150 1540600 1575664 35065
975668 1200 1159 1313505 1340168 26664
990862 1200 1177 2062956 2093030 30075
930050 1200 1105 769013 798197 29185
915905 1200 1088 267499 288759 21261
885832 1200 1052 220987 260654 39668
941823 1200 1119 477978 499434 21457
996781 1200 1184 1808188 1858129 49942
976512 1200 1160 1995069 1996549 1481
972345 1200 1155 1523297 1536932 13636
995963 1200 1183 2030361 2031499 1139
1008488 1200 1198 324014 330292 6279
1002623 1200 1191 1523780 1531003 7224
1005115 1200 1194 1402329 1422056 19728
1002625 1200 1191 260106 291247 31142
1002626 1200 1191 1359720 1394357 34638
1008487 1200 1198 312991 322632 9642
1009389 1200 1199 1700755 1722837 22083
1009390 1200 1199 249937 264660 14724
1009391 1200 1199 432290 471702 39413
1009392 1200 1199 1082629 1089838 7210
1010233 1200 1200 826398 845944 19547
1105706 1400 1313 151550 190760 39211
1145920 1400 1361 1316836 1333022 16187
1143427 1400 1358 1166002 1174864 8863
1170205 1400 1390 1672415 1690061 17647
1052522 1400 1250 10477 32145 21669
1176978 1400 1398 1329878 1363372 33495
1117610 1400 1327 2014381 2040859 26479
1166073 1400 1385 1532717 1550452 17736
1155258 1400 1372 927971 964083 36113
1155256 1400 1372 1429608 1475479 45872
1176977 1400 1398 607717 616744 9028
1172726 1400 1393 207762 245655 37894
1176976 1400 1398 651471 691562 40092
1162771 1400 1381 1424971 1470461 45491
1173565 1400 1394 539370 546755 7386
1177834 1400 1399 1462849 1488823 25975
1177835 1400 1399 860062 875660 15599
1178688 1400 1400 1742470 1757480 15011
1337861 1600 1589 762107 794319 32213
1331995 1600 1582 1419062 1450501 31440
1196437 1600 1421 1560429 1560765 337
1345594 1600 1598 2086228 2097685 11458
1329403 1600 1579 1849680 1880256 30577
1342993 1600 1595 617782 646919 29138
1337860 1600 1589 1350590 1391123 40534
1249111 1600 1484 1814444 1841174 26731
1273480 1600 1513 1455077 1467597 12521
1285327 1600 1527 1148315 1159749 11435
1305716 1600 1551 280044 298347 18304
