sim_gen inv_id mut_id qtn_gen_origin qtn_pos qtn_selCoef qtn_dom 
400 34298 17757 188 1.77431e+06 0.00251658 0
400 33752 33199 383 173836 0.000759861 0
600 5372 50704 210 1.42589e+06 7.61054e-05 0
600 26746 51695 243 684408 -0.00119354 0
600 26746 46492 547 668939 -0.00100041 0
600 26746 51327 494 683905 0.0039126 0
600 49965 42687 492 19672 -0.00275931 0
800 61788 60640 3 1.22213e+06 -0.00338881 0
800 5372 68362 696 1.43064e+06 0.00223766 0
800 5372 65837 581 1.4409e+06 -0.00197701 0
800 5372 68223 773 1.45593e+06 -0.000181625 0
800 5372 68267 557 1.44443e+06 -0.00303856 0
800 5372 58071 101 1.43485e+06 0.000904702 0
800 5372 67478 358 1.42672e+06 0.000866542 0
800 5372 67642 180 1.4554e+06 6.65329e-05 0
800 48258 64776 171 985116 0.00288877 0
800 17029 62252 393 693241 -0.000608976 0
800 17029 65123 697 694215 0.000650765 0
1000 5372 82264 171 1.43631e+06 -8.56036e-05 0
1000 5372 85349 343 1.42568e+06 -0.00107279 0
1000 5372 85126 75 1.45614e+06 -0.00145765 0
1000 5372 86077 518 1.44345e+06 0.000348645 0
1000 5372 86150 377 1.42739e+06 -0.000432136 0
1000 78963 72678 843 139066 -0.000953663 0
1000 48258 82631 348 998841 0.0036515 0
1000 48258 83975 685 963190 0.000516513 0
1000 29383 85244 171 1.8453e+06 -0.00186702 0
1000 17029 78298 171 689845 0.00134419 0
1000 38234 73770 171 1.27992e+06 -0.000482186 0
1000 38234 82446 678 1.28466e+06 -0.000265764 0
1000 74156 84458 171 1.02764e+06 -0.002188 0
1000 85493 74493 377 556975 -0.00112 0
1200 99896 91906 3 1.94747e+06 0.00103085 0
1200 5372 89714 901 1.43111e+06 0.00037956 0
1200 5372 100700 595 1.43207e+06 0.00171582 0
1200 5372 99999 343 1.43994e+06 -0.00418741 0
1200 5372 103334 1193 1.45031e+06 0.00278923 0
1200 5372 101857 685 1.42497e+06 -0.00291173 0
1200 5372 103363 1092 1.45373e+06 -0.000712241 0
1200 92206 97593 830 1.47555e+06 -0.00463403 0
1200 76644 94012 952 951375 -0.00190536 0
1200 76644 93468 3 941721 -0.000543793 0
1200 17029 101361 954 693352 -0.00369796 0
1200 38234 103415 343 1.26951e+06 0.000658941 0
1200 26746 102429 171 694363 -0.00020386 0
1400 5372 117157 171 1.44162e+06 0.0016697 0
1400 5372 106781 942 1.45625e+06 0.00210059 0
1400 5372 120488 1107 1.45284e+06 0.000877447 0
1400 5372 120529 662 1.43338e+06 0.00110507 0
1400 48258 120237 830 985598 0.0012274 0
1400 48258 119696 343 994165 0.00064023 0
1400 119833 112235 1370 1.51247e+06 -0.00120774 0
1400 29383 120133 343 1.85489e+06 0.00206821 0
1400 17029 120559 728 691139 -0.000168692 0
1400 58028 120356 830 1.81437e+06 -0.000508117 0
1400 26746 118630 830 680230 0.00176951 0
1400 26746 120596 343 687271 0.00192735 0
1400 26746 120474 171 680734 4.86372e-05 0
1600 5372 130410 348 1.42277e+06 0.000957049 0
1600 5372 131416 893 1.43456e+06 -0.00198686 0
1600 5372 137561 377 1.4481e+06 0.00339652 0
1600 48258 129122 348 996136 -0.00252421 0
1600 48258 136618 893 991160 0.00200061 0
1600 48258 137482 377 998380 -0.000804263 0
1600 17029 131569 348 690780 -0.00295385 0
1600 38234 131421 691 1.27746e+06 -0.00283302 0
1600 38234 137724 348 1.27346e+06 -0.000612243 0
1600 120926 134097 830 161832 0.00189744 0
1800 114688 154214 343 1.26324e+06 -0.000836996 0
1800 114688 151074 645 1.26176e+06 -0.00466237 0
1800 5372 150504 1419 1.42616e+06 6.93719e-05 0
1800 5372 155041 696 1.42462e+06 5.82258e-05 0
1800 5372 154983 893 1.42587e+06 -0.00216333 0
1800 5372 155072 1332 1.43137e+06 0.00250367 0
1800 5372 154822 87 1.42505e+06 0.000244503 0
1800 65709 155120 830 415749 0.00172522 0
1800 48258 155039 581 966051 -0.00159124 0
1800 48258 152768 87 994266 0.000687358 0
1800 48258 155125 662 973792 -0.00120482 0
1800 17029 146663 830 688772 0.000624729 0
1800 17029 154852 1723 694456 -0.00339135 0
1800 17029 155117 536 692382 0.000677485 0
1800 38234 148983 348 1.28422e+06 -0.00234042 0
1800 74156 155112 830 1.02406e+06 -0.00102488 0
1800 155137 142735 1096 845780 0.000172327 0
1800 155138 138103 3 1.57185e+06 -0.00118401 0
2000 5372 165720 1330 1.42202e+06 3.20822e-05 0
2000 5372 171658 87 1.43599e+06 -0.00278116 0
2000 5372 170393 1901 1.44929e+06 -0.00149442 0
2000 5372 170869 547 1.45504e+06 -0.00238237 0
2000 5372 170444 393 1.45699e+06 0.00180983 0
2000 5372 169551 233 1.44959e+06 -0.00308962 0
2000 5372 172140 180 1.45721e+06 0.00548715 0
2000 5372 171613 533 1.44994e+06 -0.00146198 0
