inv_id sim_gen inv_originGen inv_pos inv_end inv_length 
13339 200 16 1250476 1266497 16022
48311 200 58 1909514 1951994 42481
62541 200 75 1329996 1379956 49961
71861 200 86 160660 174021 13362
87831 200 105 31148 76073 44926
104649 200 125 1132409 1151064 18656
111299 200 133 818941 827128 8188
128253 200 153 1116746 1155721 38976
128251 200 153 657523 699449 41927
122329 200 146 514090 546876 32787
127427 200 152 1327696 1330986 3291
131658 200 157 564767 576341 11575
123142 200 147 1716056 1740449 24394
151205 200 180 406345 453683 47339
136813 200 163 1248800 1263440 14641
166230 200 198 208479 209895 1417
164582 200 196 125216 169680 44465
167066 200 199 849847 886619 36773
167945 200 200 1605053 1653178 48126
167946 200 200 616528 633114 16587
167947 200 200 2028737 2045698 16962
178047 400 212 316485 354101 37617
276850 400 329 201530 249404 47875
232775 400 277 209394 258358 48965
319560 400 380 133424 180651 47228
331323 400 394 1709112 1718772 9661
281028 400 334 1052262 1057025 4764
335501 400 399 400873 406850 5978
258285 400 307 536578 566587 30010
266694 400 317 1711617 1713957 2341
306101 400 364 618916 664864 45949
298744 400 355 1408219 1457064 48846
317910 400 378 1504550 1547561 43012
327934 400 390 841831 883134 41304
332996 400 396 1016909 1059034 42126
330471 400 393 811167 813549 2383
335499 400 399 2012662 2027906 15245
335500 400 399 705552 753782 48231
438129 600 521 1146268 1164888 18621
427118 600 508 1555978 1571820 15843
460576 600 548 151322 174179 22858
491144 600 584 1443028 1448670 5643
396046 600 471 830964 847184 16221
493713 600 587 1804951 1851270 46320
486890 600 579 344106 345476 1371
494573 600 588 822780 840917 18138
421972 600 502 1106663 1129018 22356
437264 600 520 514583 558076 43494
419486 600 499 1057219 1068355 11137
497893 600 592 1429713 1469433 39721
499548 600 594 1911296 1924079 12784
503841 600 599 1168311 1178805 10495
491143 600 584 2031665 2031801 137
501308 600 596 139796 154503 14708
503027 600 598 686639 696961 10323
503024 600 598 657765 670294 12530
504674 600 600 42977 84836 41860
645664 800 767 354242 377498 23257
573521 800 681 1059394 1087661 28268
666352 800 791 778989 790021 11033
614564 800 730 1506786 1550275 43490
658600 800 782 2007392 2053225 45834
608805 800 723 941355 979713 38359
622970 800 740 2057481 2074006 16526
668822 800 794 507942 512063 4122
652606 800 775 1107077 1150257 43181
672929 800 799 1843762 1850181 6420
666353 800 791 1546161 1574939 28779
672051 800 798 550485 573870 23386
662821 800 787 110879 124481 13603
673764 800 800 720168 741493 21326
835858 1000 992 1448526 1454247 5722
805914 1000 957 503097 537165 34069
792511 1000 941 2031574 2077975 46402
829954 1000 985 519797 540595 20799
679754 1000 807 1413061 1443516 30456
811887 1000 964 1254201 1272894 18694
736668 1000 875 1636273 1667014 30742
816153 1000 969 82876 84193 1318
818759 1000 972 2032611 2069197 36587
829955 1000 985 49271 97380 48110
830777 1000 986 1220429 1223222 2794
838421 1000 995 1964517 1975488 10972
838420 1000 995 1173043 1180190 7148
842520 1000 1000 1233882 1267871 33990
842521 1000 1000 1250642 1272085 21444
1001424 1200 1189 2032465 2039812 7348
1008965 1200 1198 1651106 1692768 41663
969328 1200 1151 430543 437499 6957
1005713 1200 1194 1032308 1053548 21241
937351 1200 1113 559491 598174 38684
987140 1200 1172 505320 506642 1323
1001423 1200 1189 1960312 1990368 30057
997180 1200 1184 1061120 1062688 1569
998065 1200 1185 209642 240481 30840
848414 1200 1007 903925 951988 48064
966786 1200 1148 420565 443327 22763
894328 1200 1062 1407485 1450461 42977
961734 1200 1142 542389 580615 38227
1004833 1200 1193 841912 855563 13652
961736 1200 1142 1406338 1455622 49285
987975 1200 1173 672395 697110 24716
987974 1200 1173 362400 362541 142
1008964 1200 1198 472965 484936 11972
1010619 1200 1200 1147065 1163962 16898
1010620 1200 1200 475331 485804 10474
1167037 1400 1386 881556 891666 10111
